   Compiling tldr-cli v0.3.0 (/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli)
    Finished `release` profile [optimized] target(s) in 2m 26s
     Running tests/vuln_migration_v1_red.rs (target/release/deps/vuln_migration_v1_red-4754afab06309494)

running 166 tests
test cpp_sql_injection_string_literal_fp ... ok
test cpp_command_injection_positive ... FAILED
test c_path_traversal_string_literal_fp ... ok
test c_command_injection_positive ... ok
test csharp_command_injection_string_literal_fp ... ok
test c_sql_injection_string_literal_fp ... ok
test csharp_command_injection_positive ... FAILED
test cpp_deserialization_string_literal_fp ... ok
test cpp_path_traversal_string_literal_fp ... ok
test c_sql_injection_positive ... FAILED
test cpp_command_injection_string_literal_fp ... ok
test cpp_deserialization_positive ... FAILED
test cpp_path_traversal_positive ... FAILED
test cpp_sql_injection_positive ... FAILED
test c_command_injection_string_literal_fp ... ok
test c_path_traversal_positive ... ok
test csharp_deserialization_string_literal_fp ... ok
test elixir_path_traversal_string_literal_fp ... ok
test csharp_sql_injection_string_literal_fp ... ok
test csharp_path_traversal_string_literal_fp ... ok
test elixir_deserialization_string_literal_fp ... ok
test elixir_sql_injection_positive ... FAILED
test csharp_xss_positive ... FAILED
test csharp_sql_injection_positive ... ok
test elixir_command_injection_string_literal_fp ... ok
test csharp_deserialization_positive ... FAILED
test csharp_xss_string_literal_fp ... ok
test elixir_path_traversal_positive ... FAILED
test elixir_command_injection_positive ... FAILED
test elixir_deserialization_positive ... ok
test elixir_sql_injection_string_literal_fp ... ok
test go_command_injection_string_literal_fp ... ok
test go_path_traversal_string_literal_fp ... ok
test elixir_xss_positive ... ok
test go_ssrf_positive ... ok
test go_sql_injection_string_literal_fp ... ok
test elixir_xss_string_literal_fp ... ok
test go_ssrf_string_literal_fp ... ok
test csharp_path_traversal_positive ... FAILED
test go_command_injection_positive ... ok
test go_sql_injection_positive ... ok
test java_command_injection_positive ... ok
test java_command_injection_string_literal_fp ... ok
test go_path_traversal_positive ... ok
test java_deserialization_positive ... FAILED
test java_sql_injection_string_literal_fp ... ok
test java_ssrf_positive ... ok
test java_sql_injection_positive ... ok
test java_path_traversal_positive ... FAILED
test javascript_command_injection_positive ... ok
test javascript_deserialization_positive ... FAILED
test java_ssrf_string_literal_fp ... ok
test java_deserialization_string_literal_fp ... ok
test javascript_command_injection_string_literal_fp ... ok
test java_path_traversal_string_literal_fp ... ok
test javascript_sql_injection_positive ... ok
test javascript_path_traversal_positive ... ok
test javascript_deserialization_string_literal_fp ... ok
test javascript_path_traversal_string_literal_fp ... ok
test javascript_sql_injection_string_literal_fp ... ok
test kotlin_path_traversal_string_literal_fp ... ok
test javascript_xss_string_literal_fp ... ok
test kotlin_path_traversal_positive ... ok
test javascript_ssrf_string_literal_fp ... ok
test javascript_ssrf_positive ... ok
test kotlin_command_injection_string_literal_fp ... ok
test kotlin_command_injection_positive ... ok
test kotlin_deserialization_string_literal_fp ... ok
test kotlin_sql_injection_string_literal_fp ... ok
test kotlin_deserialization_positive ... ok
test javascript_xss_positive ... FAILED
test kotlin_sql_injection_positive ... ok
test lua_command_injection_string_literal_fp ... ok
test lua_path_traversal_positive ... ok
test lua_command_injection_positive ... ok
test lua_path_traversal_string_literal_fp ... ok
test luau_command_injection_positive ... ok
