20:36:34 | rss_kb=12646848 | Index:   building|Memory:  12.1 GB (peak 12.1 GB)|busy:        warm-build (running 0h 1m 23s)
20:36:49 | rss_kb=12646848 | Index:   building|Memory:  12.1 GB (peak 12.1 GB)|busy:        warm-build (running 0h 1m 38s)
20:37:04 | rss_kb=12646848 | Index:   building|Memory:  12.1 GB (peak 12.1 GB)|busy:        warm-build (running 0h 1m 53s)
20:37:19 | rss_kb=11996736 | Index:   building|Memory:  11.4 GB (peak 16.0 GB)|busy:        warm-build (running 0h 2m 8s)
20:37:34 | rss_kb=14242816 | Index:   building|Memory:  13.6 GB (peak 16.0 GB)|busy:        warm-build (running 0h 2m 23s)
20:37:49 | rss_kb=14369600 | Index:   building|Memory:  13.7 GB (peak 16.0 GB)|busy:        warm-build (running 0h 2m 39s)
20:38:05 | rss_kb=14504528 | Index:   building|Memory:  13.8 GB (peak 16.0 GB)|busy:        warm-build (running 0h 2m 54s)
20:38:20 | rss_kb=14639296 | Index:   building|Memory:  14.0 GB (peak 16.0 GB)|busy:        warm-build (running 0h 3m 9s)
20:38:35 | rss_kb=14783216 | Index:   building|Memory:  14.1 GB (peak 16.0 GB)|busy:        warm-build (running 0h 3m 24s)
20:38:50 | rss_kb=14931008 | Index:   building|Memory:  14.2 GB (peak 16.0 GB)|busy:        warm-build (running 0h 3m 39s)
20:39:05 | rss_kb=15287136 | Index:   building|Memory:  14.6 GB (peak 16.0 GB)|busy:        warm-build (running 0h 3m 54s)|busy:        delta (running 0h 0m 10s)
20:39:20 | rss_kb=15430944 | Index:   building|Memory:  14.7 GB (peak 16.0 GB)|busy:        warm-build (running 0h 4m 10s)|busy:        delta (running 0h 0m 25s)
20:39:36 | rss_kb=16049440 | Index:   building|Memory:  15.3 GB (peak 16.0 GB)|busy:        warm-build (running 0h 4m 25s)|busy:        delta (running 0h 0m 41s)
20:39:51 | rss_kb=16049440 | Index:   building|Memory:  15.3 GB (peak 16.0 GB)|busy:        warm-build (running 0h 4m 40s)|busy:        delta (running 0h 0m 56s)
20:40:06 | rss_kb=16049440 | Index:   building|Memory:  15.3 GB (peak 16.0 GB)|busy:        warm-build (running 0h 4m 55s)|busy:        delta (running 0h 1m 11s)
20:40:21 | rss_kb=16049440 | Index:   building|Memory:  15.3 GB (peak 16.0 GB)|busy:        warm-build (running 0h 5m 10s)|busy:        delta (running 0h 1m 26s)
20:40:36 | rss_kb=16049440 | Index:   building|Memory:  15.3 GB (peak 16.0 GB)|busy:        warm-build (running 0h 5m 26s)|busy:        delta (running 0h 1m 41s)
20:40:52 | rss_kb=16049440 | Index:   building|Memory:  15.3 GB (peak 16.0 GB)|busy:        warm-build (running 0h 5m 41s)|busy:        delta (running 0h 1m 57s)
20:41:07 | rss_kb=16049440 | Index:   building|Memory:  15.3 GB (peak 16.0 GB)|busy:        warm-build (running 0h 5m 56s)|busy:        delta (running 0h 2m 12s)
20:41:22 | rss_kb=16049440 | Index:   building|Memory:  15.3 GB (peak 16.0 GB)|busy:        warm-build (running 0h 6m 11s)|busy:        delta (running 0h 2m 27s)
